Клеймо за време;Факултетен номер;Номер на въпроса;Цел на въпроса;Тип на въпроса;Въпрос;Опция 1;Опция 2;Опция 3;Опция 4;Верен отговор;Ниво на трудност;Обратна връзка при верен отговор;Обратна връзка при грешен отговор;Забележка
2023/04/16 4:11:39 сл.об. Гринуич+3;62547;1;Проверка на общото разбиране;3;Какво е CSS Flexbox?;свойство за оформление и създаване на гъвкави и адаптивни дизайни;свойство за декориране на текст;модул за създаване на анимации;новият синтаксис за правене на таблици;1;2;Да! Flexbox е мощен инструмент за създаване на динамични и адаптивни оформления на уеб страници.;Flexbox всъщност е модул за оформление за създаване на гъвкави и ефективни дизайни.;-
2023/04/16 4:15:18 сл.об. Гринуич+3;62547;2;Познаване на понятието главна ос;3;Коя е основната ос в CSS Flexbox?;Хоризонталната;Вертикалната;Оста, която определя посоката на подреждане на съдържанието.;Оста, която е перпендикулярна на посоката на подреждане на съдържанието.;1;2;Да! Главната ос е основната ос, която върви в посоката на оформлението и указва в коя посока да се разположат елементите в контейнера.;Не! Главната ос е основната ос, която върви в посоката на оформлението и указва в коя посока да се разположат елементите в контейнера.;-
2023/04/16 4:17:58 сл.об. Гринуич+3;62547;3;Познаване на свойството за задаване на главната ос;3;Кое свойство се използа за задаване на главната ос?;flex-direction;align-content;align-items;justify-content;1;2;Да! flex-direction задава главната ос, а останалите свойства задават подравняването по главната и второстепенната ос. ;Не! flex-direction задава главната ос, а останалите свойства задават подравняването по главната и второстепенната ос. ;-
2023/04/16 4:20:53 сл.об. Гринуич+3;62547;4;Познаване на начина за подравняване по главната ос;3;Кое свойство се използва за подравняване на съдържанието по главната ос?;justify-content;aling-items;align-content;flex-flow;1;3;Да! justify-content подравнява съдъжанието по главната ос, а align-content и align-items - по второстепенната ос. flex-flow е съкратен запис за flex-direction и flex-wrap;Не! justify-content подравнява съдъжанието по главната ос, а align-content и align-items - по второстепенната ос. flex-flow е съкратен запис за flex-direction и flex-wrap;-
2023/04/16 4:24:34 сл.об. Гринуич+3;62547;5;Познаване на начините за подравняване по второстепенната ос;3;Кои две свойства служат за подравняване на съдържанието по второстепенната ос?;align-content и align-items;justify-content и align-content;justify-content и align-items;flex-direction и align-content;1;3;Да! align-content и align-items служат за подравняване по второстепенната ос. justify-content подравняват съдържанието по главната ос. flex-direction само задава коя е главната ос. ;Не! align-content и align-items служат за подравняване по второстепенната ос. justify-content подравняват съдържанието по главната ос. flex-direction само задава коя е главната ос. ;-
2023/04/16 4:32:07 сл.об. Гринуич+3;62547;6;Проверка на знанията за разликата между align-content и align-items;3;Каква е разликата между align-content и align-items?;И двете свойства работят по второстепенната ос, но align-items подравнява отделните елементи, a align-content подравнява редовете от елементи. ;align-content работи на главната ос, а align-items - на второстепенната;align-content работи на второстепенната ос, а align-items - на главната;това са две различни имена на едно и също свойство;1;2;Правилно! Тези две свойства работят по второстепенната ос, a justify-content - по главната ос. ;Не! align-content и align-items работят по второстепенната ос, a justify-content - по главната ос. ;-
2023/04/16 4:36:56 сл.об. Гринуич+3;62547;7;Преглед на познанията за flex-wrap;3;За какво служи flex-wrap?;Уточнява дали съдържанието да се пренася на нов ред (колона), когато мястото за него не стига по главната ос. ;Уточнява след кой елемент да стане пренасянето на нов ред.;Указва с какво разстояние помежду си да се подреждат елементите.;няма такова свойство;1;2;Правилно!;Не. flex-wrap се използва за контрол дали съдържанието може да се пренесе на нов ред, когато мястото за него него не стига. ;-
2023/04/16 4:39:45 сл.об. Гринуич+3;62547;8;Проверка на знанията за последователността на елементите;3;Може ли да зададете ред на елементите във flex контейнера, който е различен от този в кода?;Не може;Да, чрез свойството order;Да, чрез свойството flex-wrap;Да, чрез свойството flex-order;1;2;Правилно!;Грешка! Различна подредба се задава с order. ;-
2023/04/16 4:45:45 сл.об. Гринуич+3;62547;9;Познания за flex-grow, flex-shrink, flex-basis;3;Изберете грешното твърдение;flex-grow се използва за посочване на пропорционална големина спрямо другите flex елементи;flex-shrink посочва колко бързо се свива даден елемент спрямо останалите;flex-basis задава първоначалния размер на flex елемента;няма свойство, което да обединява тези три свойства;1;2;"Правилно! Има свойство, което обединява тези три свойства - ""flex"". Използва се сравнително често. ";"Не! flex-grow, flex-shrink и flex-basis наистина служат за това. Грешката е, че няма свойство, което да ги обобщава. Има такова свойство - ""flex"". ";-
2023/04/16 4:52:49 сл.об. Гринуич+3;62547;10;Разграничаване между свойства на контейнера родител и свойства на flex елементите наследници;3;Посочето правилното групиране;"Свойства на родителя: display: flex, flex-direction, flex-wrap, flex-flow, justify-content, align-content, align-items, gap
Свойства на наследника/наследниците: align-self, order, flex-grow, flex-shrink, flex-basis, flex. ";"Свойства на родителя: align-self, order, flex-grow, flex-shrink, flex-basis, flex. 
Свойства на наследника/наследниците: display: flex, flex-direction, flex-wrap, flex-flow, justify-content, align-content, align-items, gap";"Свойства на родителя: flex, flex-wrap, flex-flow, justify-content, align-content, align-items, gap, order
Свойства на наследника/наследниците: display: flex, flex-direction, align-self, justify-content, , flex-grow, flex-shrink, flex-basis, flex. ";Няма правилно групиране;1;4;Правилно!;"Грешка! Правилното групиране е:
Свойства на родителя: display: flex, flex-direction, flex-wrap, flex-flow, justify-content, align-content, align-items, gap
Свойства на наследника/наследниците: align-self, order, flex-grow, flex-shrink, flex-basis, flex. ";Може би би било добре този въпрос да се зададе по-рано.
